quant, share, tar, price,msl,,,,ms,,,,ss,,,,csm,,,,cam,,,,ms100,,,,msex,,,,wak,,,,mrlm,,,,fron,,,,larm,,,,echo,,,
33308,99,6,240,32947,98,8,230,32077,95,10,230,23682,70,14,230,19178,57,5,240,10151,30,8,240,0,-50,-5,0,4156,12,3,230,0,-50,-5,0,4973,15,8,0,7637,23,1,250,6677,20,9,0,0,-50,-5,0
32452,98,6,260,32068,97,8,250,29847,90,10,250,23421,71,14,250,17889,54,5,260,9076,27,8,260,0,-50,-5,0,6479,20,3,250,0,-50,-5,0,6925,21,8,0,7262,22,1,270,7676,23,9,0,0,-50,-5,0
31088,96,6,260,30340,93,8,250,27763,86,10,250,22524,69,14,250,16336,50,5,260,8298,26,8,260,0,-50,-5,0,7486,23,3,250,0,-50,-5,0,8727,27,8,0,6859,21,1,270,7396,23,9,0,0,-50,-5,0
29405,92,6,260,29058,91,8,250,26411,83,10,250,22525,71,14,250,15060,47,5,260,7645,24,8,260,0,-50,-5,0,8146,26,3,250,0,-50,-5,0,10037,31,8,0,6398,20,1,270,7085,22,9,0,0,-50,-5,0
27792,89,6,260,27804,89,8,250,24981,80,10,250,22194,71,14,250,14025,45,5,260,7032,22,8,260,0,-50,-5,0,8570,27,3,250,0,-50,-5,0,9771,31,8,0,5804,19,1,270,6842,22,9,0,0,-50,-5,0
25071,84,6,270,25746,86,8,260,23064,77,10,260,19203,64,14,265,12447,42,5,270,6368,21,8,270,3325,11,1,270,7676,26,3,260,0,-50,-5,0,10042,34,8,0,4747,16,1,270,6488,22,9,0,0,-50,-5,0
23393,80,6,280,23444,80,8,270,20275,69,10,270,16605,57,14,280,10296,35,5,280,6050,21,8,280,5726,20,1,270,8941,31,3,270,0,-50,-5,0,10249,35,8,0,4156,14,1,270,5944,20,9,0,0,-50,-5,0
21985,77,6,280,20930,73,8,270,17154,60,10,270,15449,54,14,280,8398,29,5,280,5545,19,8,280,7018,25,1,270,9878,35,3,270,0,-50,-5,0,9655,34,8,0,3754,13,1,270,5454,19,9,0,0,-50,-5,0
18293,68,6,290,16612,62,8,285,13235,49,10,285,14155,52,14,290,7267,27,5,290,5016,19,8,290,8209,30,1,285,7637,28,3,285,0,-50,-5,0,8525,32,8,0,3302,12,1,280,4886,18,9,0,0,-50,-5,0
14036,54,6,300,12517,48,8,300,10296,40,10,300,13216,51,14,300,6507,25,5,300,4632,18,8,300,8283,32,1,300,7061,27,3,300,0,-50,-5,0,7605,29,8,0,3509,14,1,290,3815,15,9,0,0,-50,-5,0
12066,49,6,300,10579,43,8,300,8889,36,10,300,12473,51,14,300,5804,24,5,300,4325,18,8,300,8052,33,1,300,6679,27,3,300,0,-50,-5,0,6607,27,8,0,3677,15,1,290,0,-50,-5,0,0,-50,-5,0
10798,46,6,300,8879,38,8,300,7487,32,10,300,11692,50,14,300,5278,23,5,300,3731,16,8,300,7962,34,1,300,6406,27,3,300,0,-50,-5,0,6015,26,8,0,3568,15,1,290,0,-50,-5,0,0,-50,-5,0
9000,43,6,300,7247,34,8,300,6147,29,10,300,10014,48,14,300,4375,21,5,300,3173,15,8,300,7100,34,1,300,5635,27,3,300,0,-50,-5,0,5370,26,8,0,3104,15,1,290,0,-50,-5,0,2679,13,15,180
7908,40,6,410,6474,33,8,410,5942,30,10,410,8542,43,14,440,3492,18,5,410,2894,15,8,410,6266,32,1,410,5247,27,3,410,2786,14,19,250,5100,26,8,0,3032,15,1,410,2406,12,9,0,3558,18,15,240
7103,36,6,410,5642,29,8,410,5139,26,10,410,8482,43,14,440,3264,17,5,410,2650,14,8,410,6585,34,1,410,4864,25,3,410,3690,19,19,250,4529,23,8,0,2899,15,1,410,0,-50,-5,0,3823,20,15,240
6822,35,6,410,5298,27,8,410,4878,25,10,410,8349,42,14,440,3145,16,5,410,2518,13,8,410,6755,34,1,410,4871,25,3,410,4224,21,19,250,4625,22,8,0,2849,14,1,410,0,-50,-5,0,4069,21,15,240
5570,31,6,430,4312,24,8,430,3989,22,10,430,6949,39,14,460,2695,15,5,420,2187,12,8,420,5722,32,1,430,4144,23,3,430,4219,23,19,260,3498,20,8,460,2531,14,1,420,0,-100,-5,420,4091,23,15,250
